name ,code,HEX,company
air breeze,9436,FECE8B,Asian Paints
button rose,8108,F8F8F8,Asian Paints
soft breeze,8116,A539FF,Asian Paints
zinnia bloom,8716,EFE3DF,Asian Paints
essence,8099,F7E2E2,Asian Paints
pink mist,8092,F7E2E0,Asian Paints
angel harp,8124,F5E2E2,Asian Paints
lucid dream,5182,8839FF,Asian Paints
winged angel,8100,F8F8F8,Asian Paints
touch of fuschia,8140,F7EDE9,Asian Paints
day lily,8060,8839FF,Asian Paints
tinge of rose,8084,F5E6E1,Asian Paints
soft chenille,8036,F9E9DE,Asian Paints
zen,8676,F4E6DD,Asian Paints
white clay,8620,F3E3D7,Asian Paints
milkshake,8012,F9E4D1,Asian Paints
lilac frost,7148,ECE7E4,Asian Paints
twilight sky,8204,577FBB,Asian Paints
daisy bloom,L178,EFEAE6,Asian Paints
willow creek,8068,F8F8F8,Asian Paints
gossamer,8052,F7EBE2,Asian Paints
blush,L139,F8F8F8,Asian Paints
summer blush-n,945,E7DECF,Asian Paints
fresh fuel,9516,EAE7E1,Asian Paints
white butter,L164,F8F8F8,Asian Paints
white cameo,L145,F7F0E6,Asian Paints
crushed ice,L140,F3ECDE,Asian Paints
snow blush,L138,8839FF,Asian Paints
harmony,L147,F3EADB,Asian Paints
macadamia,5184,F8F8F8,Asian Paints
desert ivory,8020,F5E8D9,Asian Paints
coral shell,951,F8F8F8,Asian Paints
virgin lace,L107,F8F8F8,Asian Paints
cobbled path,8636,F7ECE1,Asian Paints
rose blush,5232,F8F8F8,Asian Paints
mica matte,L142,F2EAE1,Asian Paints
peach organza,8028,F6ECDF,Asian Paints
natural linen,L132,F0E7D4,Asian Paints
sesame seed,L127,F8F8F8,Asian Paints
lovely lace,L131,F8F8F8,Asian Paints
crescent,7948,F7F0DD,Asian Paints
thick cream,7860,F4EED9,Asian Paints
cream,307,F8F8F8,Asian Paints
puppy love,3203,ECDEC6,Asian Paints
buttercream-n,L188,E7DCC3,Asian Paints
light butter-n,L189,8839FF,Asian Paints
dawn dew-n,L190,F8F1BB,Asian Paints
cold coffee,L129,D6A778,Asian Paints
mellow orange,8004,F7F0E3,Asian Paints
cream tone,7996,F7EEDF,Asian Paints
south pole,L141,F3E9DD,Asian Paints
raw jute,L151,F4ECDE,Asian Paints
soft glow,952,E9DFD2,Asian Paints
white fog,L173,E7E1D6,Asian Paints
silver spree,8460,E7E1D6,Asian Paints
sahara dream,L135,E5DDD0,Asian Paints
pressed linen,L150,F6F0E3,Asian Paints
sugared nut,L126,F8F1DF,Asian Paints
powder puff,7972,F6F0E1,Asian Paints
sombre moon,7988,8839FF,Asian Paints
soft silk,L160,8839FF,Asian Paints
arabian sand,L133,F1E7D4,Asian Paints
pebble white,L136,F1E8D8,Asian Paints
shepherd trail,8764,888FFF,Asian Paints
sonnet,L146,F7F1E7,Asian Paints
blossom tint,L148,F4EEE0,Asian Paints
pale pearl,7940,F2ECDE,Asian Paints
pure ivory,L124,8839FF,Asian Paints
solitaire,8500,EEE7DA,Asian Paints
double cream,L134,F0EADA,Asian Paints
white canvas,L157,F8F8F8,Asian Paints
silence,L158,EDE7DC,Asian Paints
